Transaction Amount,Payment Method,Product Category,Quantity,Customer Age,Device Used,Is Fraudulent,Account Age Days,Transaction Hour,Shipping Billing Same
105.43,PayPal,health & beauty,4,49,mobile,0,156,10,1
234.5,bank transfer,clothing,2,24,mobile,0,113,4,0
314.19,credit card,clothing,2,18,desktop,0,302,0,1
43.41,credit card,electronics,1,22,mobile,0,40,14,1
64.81,debit card,home & garden,2,34,mobile,0,245,6,1
136.02,debit card,health & beauty,3,21,desktop,0,1,16,0
396.25,credit card,toys & games,3,34,tablet,0,268,22,0
1213.92,debit card,toys & games,1,18,tablet,0,354,11,1
130.68,PayPal,toys & games,5,26,mobile,0,298,0,1
165.89,bank transfer,health & beauty,5,45,mobile,0,100,10,1
63.61,debit card,toys & games,4,31,tablet,0,195,16,0
123.24,PayPal,home & garden,2,27,desktop,0,40,1,1
187.15,credit card,home & garden,5,42,tablet,0,41,1,1
60.22,credit card,electronics,5,30,desktop,0,68,9,1
34.65,debit card,toys & games,5,25,desktop,0,2,2,1
86.54,debit card,home & garden,5,41,tablet,0,32,9,1
94.23,bank transfer,health & beauty,4,26,tablet,1,27,14,1
123.18,credit card,electronics,4,36,desktop,0,127,4,1
231.27,credit card,toys & games,3,36,tablet,0,176,16,1
198.64,debit card,health & beauty,5,32,tablet,0,262,5,1
50.15,bank transfer,clothing,5,28,desktop,0,313,3,1
372.97,debit card,electronics,5,33,desktop,0,320,4,1
511.29,PayPal,clothing,5,58,tablet,0,327,17,0
268.44,PayPal,electronics,3,31,desktop,0,145,9,1
250.38,credit card,toys & games,2,32,desktop,0,8,20,1
127.8,bank transfer,toys & games,5,39,mobile,0,104,14,1
104.08,bank transfer,clothing,1,32,desktop,0,137,19,1
55.69,debit card,home & garden,2,33,mobile,0,118,18,1
679.48,PayPal,toys & games,2,41,tablet,0,337,1,1
113.17,debit card,home & garden,1,18,mobile,0,188,21,0
71.01,PayPal,clothing,5,38,desktop,0,223,10,1
196.82,PayPal,toys & games,4,51,mobile,0,232,17,0
190.96,debit card,electronics,2,13,desktop,0,281,12,1
10.6,credit card,health & beauty,4,43,mobile,0,155,17,1
335.91,PayPal,clothing,3,30,mobile,0,283,14,1
272.91,credit card,toys & games,3,39,mobile,0,19,2,1
40.56,credit card,health & beauty,5,42,desktop,0,290,18,1
34.4,credit card,electronics,2,41,mobile,0,313,7,1
22.72,credit card,toys & games,1,28,mobile,0,266,10,1
17.41,credit card,electronics,3,37,mobile,0,3,13,1
170.72,debit card,home & garden,2,40,tablet,0,359,7,1
292.37,PayPal,toys & games,1,38,tablet,0,179,14,1
35.11,debit card,electronics,4,37,desktop,0,131,6,1
319.62,debit card,health & beauty,2,35,desktop,0,256,12,1
65.38,bank transfer,clothing,3,33,tablet,0,208,21,1
195.39,PayPal,electronics,4,27,tablet,0,151,15,1
707.11,PayPal,toys & games,4,38,tablet,0,98,0,1
113.97,bank transfer,toys & games,4,26,tablet,0,223,5,1
208.36,debit card,home & garden,2,46,desktop,0,314,9,0
409.62,debit card,electronics,5,54,mobile,0,80,2,1
398.76,credit card,electronics,1,39,desktop,0,288,5,1
70.93,PayPal,home & garden,4,52,tablet,1,182,0,1
116.98,PayPal,clothing,3,49,mobile,0,174,11,1
1465.65,debit card,toys & games,5,58,desktop,1,141,2,1
95.05,PayPal,home & garden,1,45,tablet,0,184,6,1
16.28,PayPal,toys & games,4,30,desktop,0,94,16,1
58.93,PayPal,home & garden,5,31,tablet,0,51,17,1
101.32,debit card,health & beauty,1,27,desktop,0,47,5,1
62.18,bank transfer,clothing,2,32,tablet,0,64,19,1
166.64,debit card,electronics,3,30,tablet,0,71,23,1
36.71,debit card,toys & games,2,38,mobile,0,182,6,1
377.57,debit card,health & beauty,1,27,desktop,0,301,23,1
101.53,bank transfer,health & beauty,2,30,tablet,0,4,19,1
106.98,credit card,home & garden,5,30,mobile,0,286,12,1
304.29,bank transfer,clothing,2,29,desktop,0,346,18,1
279.03,PayPal,clothing,5,53,desktop,0,339,14,1
22.34,PayPal,clothing,5,29,mobile,0,216,1,1
193.89,PayPal,electronics,4,29,tablet,0,70,12,1
13.78,bank transfer,health & beauty,4,30,mobile,0,164,21,1
83.28,debit card,toys & games,5,36,tablet,0,210,5,0
25.28,PayPal,electronics,1,33,tablet,0,44,21,1
128.54,bank transfer,toys & games,1,51,desktop,0,338,5,1
352.32,credit card,toys & games,5,38,desktop,0,212,14,0
135.45,debit card,clothing,4,26,desktop,0,170,6,1
414.78,credit card,electronics,1,54,desktop,0,338,21,1
599.24,credit card,health & beauty,2,29,desktop,0,250,8,1
453.66,PayPal,clothing,1,18,mobile,0,58,9,0
123.34,credit card,toys & games,3,41,desktop,1,8,0,1
50.14,debit card,health & beauty,1,49,tablet,0,89,0,1
73.04,debit card,home & garden,4,28,tablet,0,70,23,0
202.69,credit card,home & garden,4,19,desktop,0,327,10,1
217.21,bank transfer,clothing,2,33,desktop,0,251,20,1
21.26,bank transfer,clothing,4,25,desktop,0,192,1,1
10.12,credit card,clothing,1,42,desktop,0,162,0,0
32.05,bank transfer,electronics,4,35,tablet,0,168,13,1
240.85,bank transfer,home & garden,4,23,mobile,0,88,15,1
116.14,PayPal,toys & games,2,46,desktop,0,332,9,1
18.38,bank transfer,home & garden,3,50,mobile,0,299,21,1
103.41,PayPal,toys & games,1,31,mobile,0,9,12,0
207.46,credit card,health & beauty,1,32,tablet,0,252,1,1
170.7,debit card,health & beauty,5,38,tablet,0,260,18,1
149.61,PayPal,clothing,1,42,mobile,0,189,22,1
94.88,PayPal,electronics,1,42,tablet,0,129,7,1
477.79,bank transfer,toys & games,3,49,desktop,0,158,19,1
385.19,PayPal,home & garden,5,42,desktop,0,147,8,1
290.86,bank transfer,toys & games,4,44,tablet,0,42,11,0
363.77,debit card,health & beauty,1,24,mobile,0,354,18,1
217.52,credit card,home & garden,3,26,tablet,0,29,19,1
263.47,credit card,clothing,3,27,mobile,0,260,4,1
46.78,PayPal,toys & games,1,35,mobile,0,359,0,1
409.12,PayPal,clothing,2,46,desktop,0,215,12,1
33.42,bank transfer,clothing,4,22,mobile,0,8,18,1
338.3,credit card,electronics,4,37,desktop,0,182,22,1
92.21,debit card,clothing,5,42,mobile,0,157,8,1
147.88,credit card,health & beauty,4,44,desktop,0,58,6,1
50.46,credit card,home & garden,3,31,tablet,0,1,9,0
17.88,bank transfer,toys & games,4,28,tablet,0,15,2,1
207.26,credit card,electronics,5,37,mobile,0,50,8,1
156.39,debit card,clothing,2,26,tablet,0,345,20,1
295.33,credit card,toys & games,2,20,mobile,0,150,3,1
293.43,PayPal,clothing,4,40,desktop,0,216,0,1
901.2,debit card,electronics,1,51,mobile,0,145,4,1
421.93,bank transfer,health & beauty,2,33,desktop,0,226,6,1
123.88,PayPal,home & garden,3,30,desktop,0,283,20,1
258.9,PayPal,clothing,1,33,desktop,0,185,23,1
29.8,credit card,health & beauty,1,31,tablet,0,24,0,1
1042.4,PayPal,toys & games,4,40,tablet,1,26,4,0
12.31,bank transfer,home & garden,1,45,tablet,0,177,6,1
48.19,debit card,home & garden,4,24,mobile,0,261,11,0
450.68,bank transfer,health & beauty,3,34,desktop,0,174,10,0
101.65,debit card,home & garden,3,27,mobile,0,243,15,1
122.15,bank transfer,health & beauty,4,54,desktop,0,66,12,1
350.16,bank transfer,health & beauty,4,29,mobile,0,276,14,1
337.11,PayPal,clothing,3,46,tablet,0,101,0,1
919.47,credit card,toys & games,4,33,desktop,0,177,21,1
68.85,bank transfer,health & beauty,5,52,mobile,0,39,14,1
169.95,PayPal,health & beauty,1,30,tablet,0,234,21,1
40.27,PayPal,electronics,3,43,mobile,0,108,4,1
179.22,PayPal,clothing,1,32,desktop,0,12,0,1
142.37,bank transfer,toys & games,4,49,tablet,0,226,17,1
431.69,PayPal,health & beauty,4,29,mobile,0,338,4,1
61.23,debit card,electronics,4,30,tablet,0,114,17,1
32.71,bank transfer,toys & games,4,23,mobile,0,80,0,0
424.36,PayPal,toys & games,1,28,desktop,0,277,23,1
14.24,bank transfer,home & garden,5,37,desktop,0,127,0,1
23.95,debit card,toys & games,2,36,desktop,0,88,20,1
464.04,bank transfer,health & beauty,4,31,mobile,0,52,23,1
208.86,credit card,health & beauty,1,32,tablet,0,150,11,1
227.18,credit card,clothing,2,32,tablet,0,5,3,1
13.2,PayPal,health & beauty,1,48,tablet,0,321,0,1
240.46,PayPal,home & garden,1,36,mobile,0,106,7,1
74.99,bank transfer,toys & games,4,28,desktop,0,243,7,1
83.57,credit card,toys & games,1,29,mobile,0,272,12,1
68.61,bank transfer,health & beauty,3,32,mobile,0,116,19,1
233.38,credit card,health & beauty,3,39,tablet,0,274,12,1
305.97,credit card,electronics,4,24,mobile,0,174,14,1
104.78,PayPal,health & beauty,3,35,mobile,1,26,4,1
436.93,PayPal,health & beauty,4,43,tablet,0,108,2,1
84.8,credit card,toys & games,2,25,tablet,0,205,7,0
299.08,PayPal,electronics,5,21,tablet,0,361,3,1
370.56,PayPal,home & garden,2,29,mobile,0,134,4,1
58.47,PayPal,home & garden,4,36,tablet,0,224,19,1
543.37,debit card,health & beauty,3,30,mobile,0,172,19,1
55.14,PayPal,home & garden,1,29,tablet,0,138,16,1
17.88,bank transfer,home & garden,5,41,mobile,0,266,12,1
862.54,bank transfer,toys & games,1,41,desktop,0,207,6,1
177.16,bank transfer,clothing,2,27,desktop,0,333,9,1
39.81,debit card,health & beauty,5,33,desktop,0,48,1,1
303.61,bank transfer,home & garden,4,40,desktop,0,57,0,1
263.12,debit card,toys & games,5,29,mobile,0,97,21,1
418.72,debit card,electronics,2,42,desktop,0,182,20,0
78.66,PayPal,toys & games,2,28,desktop,0,137,13,1
228.32,credit card,clothing,1,17,tablet,0,308,17,1
16.78,PayPal,electronics,2,23,tablet,0,59,5,1
69.26,PayPal,clothing,5,48,mobile,1,345,21,1
473.56,bank transfer,electronics,3,24,mobile,0,224,20,1
171.76,debit card,clothing,4,39,mobile,0,180,20,1
114.72,bank transfer,electronics,2,51,tablet,0,189,8,1
73.44,credit card,electronics,3,30,desktop,0,148,12,1
157.88,credit card,electronics,3,29,desktop,0,109,2,1
176.34,credit card,clothing,3,31,mobile,0,46,19,1
118.43,credit card,health & beauty,3,27,tablet,0,7,4,1
41.11,PayPal,health & beauty,5,43,tablet,0,73,23,1
134.74,debit card,health & beauty,4,37,mobile,0,124,13,1
170.78,debit card,electronics,1,42,desktop,0,295,1,0
273.18,credit card,clothing,2,23,mobile,0,55,3,1
16.17,PayPal,clothing,1,45,tablet,0,271,6,1
61.16,debit card,home & garden,2,38,mobile,0,287,11,1
123.22,debit card,health & beauty,2,49,desktop,0,16,21,0
111.45,debit card,health & beauty,4,21,tablet,0,98,5,1
129.85,credit card,toys & games,4,48,mobile,0,92,12,1
90.91,PayPal,electronics,5,17,mobile,0,323,8,1
103.17,debit card,clothing,4,26,mobile,0,267,9,1
36.97,credit card,clothing,5,25,desktop,0,184,6,0
198.45,bank transfer,health & beauty,1,29,tablet,0,286,13,0
35.99,debit card,electronics,5,29,tablet,0,215,1,1
211.68,PayPal,health & beauty,1,37,desktop,0,178,0,1
60.43,debit card,home & garden,3,43,mobile,0,91,8,1
275.18,credit card,health & beauty,1,46,tablet,0,53,23,1
251.61,PayPal,home & garden,4,27,mobile,0,218,18,1
251.94,credit card,electronics,4,8,mobile,0,47,7,1
179.41,PayPal,electronics,4,47,tablet,0,212,16,1
394.5,debit card,home & garden,3,40,tablet,0,123,2,1
46.08,PayPal,electronics,5,41,tablet,0,182,22,1
161.06,debit card,toys & games,3,37,tablet,1,249,13,1
99.79,credit card,electronics,5,46,mobile,0,306,19,1
191.89,PayPal,health & beauty,4,34,desktop,0,228,12,1
2708.3,bank transfer,home & garden,4,40,desktop,1,261,2,1
122.22,credit card,electronics,3,40,desktop,0,339,17,1
95.97,credit card,toys & games,4,56,tablet,0,330,9,1
117.62,credit card,clothing,2,24,mobile,0,313,15,1
35.84,PayPal,health & beauty,1,36,desktop,0,54,12,1
268.44,bank transfer,clothing,5,54,desktop,0,210,7,1
1140.01,bank transfer,home & garden,3,42,mobile,1,164,19,0
141.26,bank transfer,health & beauty,1,33,desktop,0,102,6,0
59.59,PayPal,toys & games,1,34,mobile,0,344,21,1
267.61,PayPal,clothing,5,33,desktop,0,328,5,1
96.58,debit card,health & beauty,4,38,tablet,0,56,5,1
933.3,credit card,toys & games,4,46,mobile,1,8,1,1
114.6,credit card,toys & games,4,30,mobile,1,27,4,1
63.49,debit card,electronics,3,13,mobile,0,184,2,1
152.67,PayPal,health & beauty,3,31,desktop,0,220,6,1
65.73,credit card,toys & games,4,29,desktop,0,334,11,1
71.11,credit card,clothing,2,44,desktop,0,61,7,1
194.84,credit card,toys & games,2,54,mobile,1,132,19,1
172.88,PayPal,electronics,4,29,tablet,0,118,13,1
17.5,PayPal,toys & games,2,61,desktop,0,91,16,1
76.36,debit card,electronics,2,35,tablet,0,149,7,1
149.27,credit card,home & garden,3,27,tablet,0,306,13,1
87.92,bank transfer,clothing,4,29,desktop,0,112,12,0
10.63,credit card,home & garden,3,41,mobile,0,305,15,1
364.23,credit card,clothing,1,27,desktop,0,344,1,1
303.3,PayPal,home & garden,1,49,desktop,0,285,14,1
129.09,bank transfer,toys & games,3,28,mobile,0,85,5,1
213.32,credit card,health & beauty,5,22,tablet,0,305,11,1
25.57,credit card,toys & games,5,39,mobile,0,182,13,1
128.63,bank transfer,electronics,2,40,desktop,0,54,2,1
145.56,PayPal,clothing,4,48,desktop,0,39,11,1
210.4,credit card,electronics,2,45,tablet,0,328,15,1
160.33,PayPal,clothing,5,26,desktop,1,17,1,1
257.75,PayPal,health & beauty,2,21,tablet,0,43,18,1
412.99,bank transfer,clothing,3,25,tablet,0,345,11,1
366.72,credit card,clothing,5,20,desktop,0,284,23,1
392.11,credit card,clothing,5,40,tablet,0,285,11,1
1108.36,debit card,toys & games,1,23,desktop,0,213,5,1
10.99,bank transfer,toys & games,3,34,desktop,0,343,22,1
94.29,bank transfer,clothing,5,35,tablet,0,79,9,1
142.98,bank transfer,electronics,4,47,mobile,0,214,11,1
16.94,credit card,home & garden,3,35,mobile,0,98,6,0
409.46,credit card,home & garden,5,33,mobile,0,59,0,1
237.08,PayPal,toys & games,5,30,desktop,0,248,1,1
576.72,bank transfer,toys & games,5,34,desktop,0,106,7,1
144.46,credit card,toys & games,2,36,mobile,0,1,6,1
110.63,debit card,electronics,5,31,desktop,0,230,13,1
259.56,PayPal,electronics,5,56,tablet,0,350,17,1
111.75,credit card,home & garden,3,14,desktop,0,22,8,1
20.18,credit card,electronics,5,29,tablet,0,305,13,1
194.43,debit card,clothing,5,28,mobile,0,26,19,1
287.77,PayPal,electronics,3,41,mobile,0,118,12,1
305.13,bank transfer,electronics,5,26,desktop,0,18,13,1
583.12,credit card,home & garden,5,28,desktop,0,115,23,1
63.11,bank transfer,home & garden,2,28,mobile,0,97,5,1
99.93,debit card,electronics,3,32,mobile,0,46,15,1
265.99,PayPal,home & garden,1,28,tablet,1,271,22,1
140.23,PayPal,electronics,1,14,tablet,0,186,8,1
208.34,debit card,electronics,1,39,desktop,0,20,18,1
221.54,credit card,electronics,5,34,mobile,0,149,19,1
513.98,credit card,home & garden,2,47,tablet,0,263,3,1
123.12,PayPal,electronics,4,58,desktop,0,119,8,1
272.9,bank transfer,clothing,4,26,mobile,0,287,15,1
1402.65,bank transfer,clothing,5,28,desktop,1,18,16,1
161.07,debit card,toys & games,3,30,tablet,0,274,21,1
34.72,credit card,electronics,5,50,mobile,0,10,13,1
439.7,credit card,electronics,1,38,desktop,0,149,4,1
111.04,bank transfer,electronics,2,32,mobile,0,18,6,1
150.19,credit card,clothing,1,20,tablet,0,260,22,1
327.07,bank transfer,toys & games,3,26,mobile,0,124,22,1
2311.0,credit card,health & beauty,3,29,desktop,1,17,3,1
23.93,bank transfer,clothing,5,30,tablet,0,187,15,1
274.38,PayPal,toys & games,4,36,mobile,0,155,18,1
306.02,PayPal,clothing,2,26,desktop,0,292,19,1
10.06,credit card,health & beauty,2,23,tablet,1,166,14,1
171.44,debit card,health & beauty,1,27,mobile,0,257,15,1
10.56,credit card,toys & games,1,20,tablet,0,195,19,1
34.68,credit card,health & beauty,1,47,tablet,0,32,14,1
310.16,PayPal,toys & games,4,36,desktop,0,353,19,1
386.6,bank transfer,health & beauty,4,53,desktop,0,314,23,1
165.76,PayPal,toys & games,2,29,desktop,1,23,11,1
82.89,bank transfer,electronics,3,36,mobile,0,250,19,1
312.3,credit card,health & beauty,5,24,tablet,0,94,1,1
75.41,credit card,health & beauty,3,47,desktop,0,105,8,1
25.17,PayPal,health & beauty,3,29,desktop,0,31,5,1
18.75,PayPal,home & garden,1,54,tablet,0,1,21,0
10.0,PayPal,toys & games,4,29,mobile,0,198,20,1
45.92,PayPal,clothing,4,48,tablet,0,356,14,1
228.31,credit card,electronics,4,41,mobile,0,156,5,1
80.37,bank transfer,home & garden,3,45,mobile,0,129,15,1
40.84,PayPal,electronics,5,35,tablet,0,256,1,0
179.14,PayPal,electronics,2,58,mobile,0,352,4,1
275.69,bank transfer,electronics,4,41,desktop,0,273,8,1
126.35,debit card,electronics,5,25,desktop,0,104,8,1
652.03,PayPal,clothing,4,29,mobile,1,286,0,1
212.26,PayPal,electronics,5,37,mobile,0,220,14,1
16.2,credit card,toys & games,1,31,tablet,0,180,2,1
43.96,PayPal,health & beauty,3,39,desktop,0,364,13,1
90.07,bank transfer,health & beauty,2,13,mobile,0,83,1,1
15.14,PayPal,clothing,2,21,desktop,0,94,19,1
494.57,bank transfer,clothing,3,41,mobile,1,354,5,1
19.46,debit card,health & beauty,3,40,mobile,0,16,2,1
157.25,debit card,clothing,4,26,desktop,0,346,14,1
59.24,debit card,health & beauty,1,20,mobile,0,321,9,1
517.76,bank transfer,home & garden,4,40,desktop,0,198,20,1
953.0,PayPal,health & beauty,4,30,mobile,1,15,13,1
47.68,debit card,home & garden,1,22,mobile,0,254,8,1
322.39,debit card,home & garden,3,12,tablet,0,221,22,1
60.66,PayPal,home & garden,2,37,mobile,0,108,7,1
13.64,credit card,clothing,5,34,desktop,0,269,12,1
145.32,credit card,clothing,1,41,mobile,0,4,8,1
134.38,PayPal,electronics,5,43,tablet,0,196,5,1
15.35,bank transfer,clothing,3,37,tablet,0,255,15,1
111.29,debit card,electronics,3,29,tablet,0,160,7,0
137.61,debit card,health & beauty,2,41,mobile,0,218,23,1
80.66,debit card,toys & games,5,31,mobile,0,288,21,1
182.45,PayPal,electronics,2,46,tablet,0,84,8,1
41.09,bank transfer,toys & games,3,25,mobile,0,92,10,1
125.18,bank transfer,home & garden,2,18,tablet,0,295,18,1
